NAME,Type,P0,PB,MSP,DISCyr,REFdisc,Edot,MCOMP_i90
1FGL_J0523.5-2529,RBc,,16.515216,0,2014,scs+14,,
2FGL_J0846.0+2820,HMc,,195.18816,0,2017,ssj+17,,
3FGL_J0427.9-6704,RBc,,8.80128,0,2016,slc+16,,0.324
3FGL_J0737.2-3233,RBc,,8.5152,0,2024,tlk+24,,
3FGL_J1544.6-1125,RBc,,5.7968664,0,2015,bh15,,
3FGL_J2221.6+6507,RBc,,3.96,0,2024,tlk+24,,
4FGL_J0327.3+2355,RBc,,6.9848664,0,2025,lrl+25,,
4FGL_J0336.0+7502,BWc,,3.7181784,0,2021,ljhk21,,
4FGL_J0407.7-5702,RBc,,,0,2020,mss+20,,
4FGL_J0540.0-7552,RBc,,,0,2021,ssu+21,,
4FGL_J0639.1-8009,RBc,,,0,2025,krs+25,,
4FGL_J0705.8-0004,RBc,,7.4942664,0,2025,lrl+25,,
4FGL_J0935.3+0901,RBc,,2.43678624,0,2020,wxz+20,,
4FGL_J0940.3-7610,RBc,,6.495336,0,2021,ssa+21,,
4FGL_J1408.6-2917,BWc,,3.4227324,0,2022,ssc+22,,
4FGL_J1544.2-2554,BWc,,2.72388408,0,2025,kzz+25,,
4FGL_J1646.5-4406,RBc,,5.26710408,0,2024,zwl+24,,
4FGL_J1701.8-2226,RBc,,7.8000672,0,2025,lrl+25,,
4FGL_J1702.7-5655,RBc,,5.8512792,0,2022,ccc+22,,
4FGL_J1813.5+2819,RBc,,7.0539504,0,2025,lrl+25,,
4FGL_J1819.4-1102,RBc,,6.5627496,0,2025,lrl+25,,
4FGL_J1824.2+1231,RBc,,,0,2025,krs+25,,
4FGL_J1838.2+3223,BWc,,4.024872,0,2024,zkk+24,,
4FGL_J1853.6-0620,RBc,,14.8602168,0,2025,lrl+25,,
4FGL_J1859.2-0706,RBc,,16.9929504,0,2025,lrl+25,,
4FGL_J1901.8-0718,RBc,,8.3739,0,2025,lrl+25,,
4FGL_J2054.2+6904,RBc,,14.933208,0,2023,kzs+23,,
CXOU_J110926.4-650224,RBc,,,0,2019,cpd+19,,
PSR_B1957+20,BW,1.60740168480632,9.1671985656,1,1988,fst88,1.6e+35,0.0214
PSR_J0023+0923,BW,3.05020310475439,3.33117943392,1,2011,hrm+11,1.59e+34,0.0164
PSR_J0212+5321,RB,2.1147,20.8698216,1,2016,lkh+16,,0.34
PSR_J0251+2606,BW,2.5415543469461026,4.8585753672,1,2016,cck+16,1.82e+34,0.0241
PSR_J0312-0921,BW,3.704335533086201,2.339013036,1,2021,trr+21,1.53e+34,0.00896
PSR_J0541+2959g,BW,3.20648,9.0096,1,2024,why+24,,0.0565
PSR_J0610-2100,BW,3.861324766937261,6.86438415192,1,2006,bjd+06,8.45e+33,0.0214
PSR_J0636+5128,BW,2.8689528464465233,1.59723218688,1,2014,slr+14,5.86e+33,0.00687
PSR_J0838-2827,RB,3.615361012345,5.148547512,1,2017,hbt17,8.71e+33,0.165
PSR_J0952-0607,BW,1.4137983550231201,6.4190648328,1,2017,bph+17,6.67e+34,0.0191
PSR_J0955-3947,RB,2.0227262142517,9.2958576,1,2018,lhs+18,1.82e+35,0.292
PSR_J1023+0038,RB,1.6879874702210562,4.7543125656,1,2009,asr+09,5.69e+34,0.135
PSR_J1036-4353,RB,1.6801080326780744,6.230910168,1,2023,cbb+23,5.31e+34,0.227
PSR_J1048+2339,RB,4.665162937270437,6.012459812868921,1,2016,cck+16,1.17e+34,0.301
PSR_J1124-3653,BW,2.409572673323117,5.447710704,1,2011,hrm+11,1.7e+34,0.0271
PSR_J1221-0633,BW,1.93453969552671,9.272388924,1,2023,spp+23,2.87e+34,0.0131
PSR_J1227-4853,RB,1.686375410272992,6.909300456,1,2014,bph+14,9.13e+34,0.211
PSR_J1242-4712,RB,5.313346943976302,7.7717700168,1,2024,gbl+24,5.64e+33,0.0873
PSR_J1301+0833,BW,1.843725626372221,6.5364557304,1,2012,rap+12,6.65e+34,0.0235
PSR_J1302-3258,RB,3.770853091420436,18.8265984,1,2011,hrm+11,4.82e+33,0.146
PSR_J1306-4035,RB,2.20453,26.3328,1,2018,kbj+18,,0.44
PSR_J1311-3430,BW,2.560371031671994,1.562777604,1,2012,r12,4.93e+34,0.00821
PSR_J1317-0157,BW,2.9082445995485147,2.139079128,1,2023,spp+23,8.82e+33,0.0176
PSR_J1356+0230,BW,2.82676166,,1,2021,nan,1.37e+34,
PSR_J1417-4402,HM,2.664216,128.96928,1,2016,crr+16,,0.22
PSR_J1431-4715,RB,2.0119534425332,10.7937393048,1,2015,btb+15,6.84e+34,0.124
PSR_J1446-4701,BW,2.1946957808815957,6.66398584776,1,2012,kjb+12,3.66e+34,0.019
PSR_J1513-2550,BW,2.1190675651177,4.287250812,1,2016,san16,8.97e+34,0.0162
PSR_J1544+4937,BW,2.159288390424757,2.89855175952,1,2013,brr+13,1.1e+34,0.017
PSR_J1555-2908,BW,1.787501766969385,5.604006444,1,2022,rnc+22,3.08e+35,0.0512
PSR_J1602-1009,BW,3.1157772059381017,2.98703073528,1,2024,msk+24,6.23e+33,0.0175
PSR_J1622-0315,RB,3.8454290679360037,3.8808162725649,1,2016,san16,7.94e+33,0.0968
PSR_J1627+3219,BW,2.18283382034,3.981139848,1,2023,saa+23,2.08e+34,0.0225
PSR_J1628-3205,RB,3.211568331468424,5.04,1,2012,rap+12,1.42e+34,0.156
PSR_J1630+3550,BW,3.2291562872132595,7.580715984,1,2022,sbo+22,2.64e+34,0.00979
PSR_J1641+8049,BW,2.0211793871241537,2.180974872,1,2018,lsk+18,4.68e+34,0.0404
PSR_J1653-0158,BW,1.9676820247057,1.24667418,1,2014,rfc+14,1.24e+34,0.00967
PSR_J1705-1903,BW,2.48029133856223,4.4136,1,2019,mbc+19,,0.0412
PSR_J1720-0533,BW,3.2676517102711187,3.16076584464,1,2021,www+21,9.25e+33,0.0292
PSR_J1723-2837,RB,1.8557327957289702,14.770475352,1,2004,fsk+04,4.66e+34,0.236
PSR_J1731-1847,BW,2.344559546885677,7.467218844,1,2011,bbb+11,7.78e+34,0.0333
PSR_J1745+1017,BW,2.6521296710896713,17.525794656,1,2013,bgc+13,5.78e+33,0.0137
PSR_J1745-23,BW,5.41669986,3.973488,1,2020,ccb+20,,0.0262
PSR_J1803-6707,RB,2.1346188308531695,9.13135992,1,2023,cbb+23,7.48e+34,0.288
PSR_J1805+0615,BW,2.128906459021764,8.084928744,1,2016,cck+16,9.31e+34,0.0229
PSR_J1810+1744,BW,1.6627549909837,3.55608684,1,2011,hrm+11,3.84e+34,0.0435
PSR_J1814+0045g,BW,2.30854,4.8552,1,2024,why+24,,0.0551
PSR_J1816+4510,RB,3.1931035571918316,8.661443563968,1,2012,rap+12,5.22e+34,0.158
PSR_J1830-0106g,BW,1.75841,2.5584,1,2024,why+24,,0.0461
PSR_J1833-3840,BW,1.86606721586073,21.610849176,1,2023,saa+23,1.08e+35,0.00828
PSR_J1838+1507g,BW,3.81818,2.6856,1,2024,why+24,,0.028
PSR_J1847+0342g,BW,4.28904,3.3408,1,2024,why+24,,0.0169
PSR_J1849+0304g,RB,1.79342,5.7888,1,2024,why+24,,0.279
PSR_J1859+0313g,RB,1.61335,10.6632,1,2024,why+24,,0.288
PSR_J1908+2105,RB,2.564392670634839,3.5116042392,1,2016,cck+16,3.24e+34,0.0541
PSR_J1910-5320,RB,2.33236685551,8.363460024,1,2023,ass+23,1.15e+35,0.277
PSR_J1919+0126g,BW,1.89736,6.4656,1,2024,why+24,,0.0245
PSR_J1919+1502g,RB,3.64606,2.6856,1,2024,why+24,,0.095
PSR_J1928+1245,BW,3.0216063479651454,3.2792334456,1,2019,pkr+19,2.4e+34,0.00897
PSR_J1931+1428g,RB,2.6077,4.356,1,2024,why+24,,0.248
PSR_J1932+2121,RB,14.244703565637,1.9417391208,1,2024,why+24,4.81e+33,0.115
PSR_J1946-5403,BW,2.71,3.12,1,2015,ckr+15,,0.0214
PSR_J1947-1120,HM,2.240104451,246.34104,1,2025,sru+25,,0.198
PSR_J1953+1006g,BW,2.58559,2.8896,1,2024,why+24,,0.0116
PSR_J1957+2516,RB,3.961655342404,5.715473304,1,2015,lbh+15,1.74e+34,0.0966
PSR_J2003+3032g,BW,1.78537,3.588,1,2024,why+24,,0.0305
PSR_J2017-1614,BW,2.3142872649224,2.3478061872,1,2016,san16,7.8e+33,0.026
PSR_J2039-5617,RB,2.6509071060648757,5.47151532,1,2015,r15,3e+34,0.171
PSR_J2047+1053,BW,4.285927910802672,2.9829473064,1,2012,rap+12,1.04e+34,0.0354
PSR_J2051-0827,BW,4.508641820006425,2.3786461176,1,1996,sbl+96,5.48e+33,0.0267
PSR_J2052+1219,BW,1.9852562818186776,2.7507270024,1,2016,cck+16,3.38e+34,0.0331
PSR_J2055+1545,RB,2.1590277489946,4.8174108432,1,2023,lod+23,3.83e+34,0.244
PSR_J2055+3829,BW,2.0892903021910656,3.11016895056,1,2017,goc+19,4.33e+33,0.0224
PSR_J2115+5448,BW,2.602876738872,3.247732512,1,2016,san16,1.68e+35,0.0215
PSR_J2129-0429,RB,7.613937470415,15.24546552,1,2011,hrm+11,2.93e+34,0.368
PSR_J2214+3000,BW,3.119226581323024,9.999190701901643,1,2011,rrc+11,1.92e+34,0.0133
PSR_J2215+5135,RB,2.6096197234460816,4.14004464,1,2011,hrm+11,7.41e+34,0.208
PSR_J2234+0944,BW,3.627027895734231,10.07184088944,1,2012,rap+12,1.66e+34,0.0154
PSR_J2241-5236,BW,2.1866997725548445,3.496133766,1,2011,kjr+11,2.6e+34,0.0117
PSR_J2256-1024,BW,2.294531816964991,5.109183131913783,1,2011,blm+11,3.71e+34,0.0295
PSR_J2333-5526,RB,2.1024602801435,6.90348504,1,2020,ssu+20,3.31e+34,0.293
PSR_J2339-0533,RB,2.8842267415472285,4.634361643452058,1,2011,rs11,2.32e+34,0.257
ZTF_J1406+1222,BWc,,1.033358928,0,2022,bmf+22,,
